timestamp,open,high,low,close,body,range,upper_wick,lower_wick,return_1,ma_5,ma_20,direction_next
2025-11-27 17:19:00,1.15308,1.15308,1.15307,1.15307,-1.0000000000065512e-05,1.0000000000065512e-05,0.0,0.0,-2.6016824212993228e-05,1.153068,1.1530815,0
2025-11-27 17:20:00,1.15307,1.15308,1.153,1.153,-7.00000000000145e-05,8.000000000008001e-05,1.0000000000065512e-05,0.0,-6.070750258002633e-05,1.1530619999999998,1.1530695,1
2025-11-27 17:21:00,1.153,1.15314,1.15299,1.15309,8.999999999992347e-05,0.0001500000000000945,5.0000000000105516e-05,1.0000000000065512e-05,7.805724197740282e-05,1.1530660000000001,1.15306,1
2025-11-27 17:22:00,1.15309,1.15311,1.15308,1.15311,2.0000000000131024e-05,2.999999999997449e-05,0.0,9.999999999843467e-06,1.734469989345122e-05,1.153074,1.1530515,0
2025-11-27 17:23:00,1.15311,1.15311,1.15308,1.15308,-2.999999999997449e-05,2.999999999997449e-05,0.0,0.0,-2.601659858991745e-05,1.15307,1.1530415,1
2025-11-27 17:24:00,1.15309,1.15312,1.15309,1.15312,2.999999999997449e-05,2.999999999997449e-05,0.0,0.0,3.468970062781018e-05,1.1530799999999999,1.15305,0
2025-11-27 17:25:00,1.15311,1.15311,1.15308,1.1531,-1.0000000000065512e-05,2.999999999997449e-05,0.0,1.999999999990898e-05,-1.734424864707762e-05,1.1530999999999998,1.1530455,0
2025-11-27 17:26:00,1.1531,1.1531,1.1531,1.1531,0.0,0.0,0.0,0.0,0.0,1.153102,1.1530495,0
2025-11-27 17:27:00,1.15299,1.15308,1.15299,1.15308,9.000000000014552e-05,9.000000000014552e-05,0.0,0.0,-1.7344549475217796e-05,1.1530960000000001,1.153051,0
2025-11-27 17:28:00,1.15299,1.153,1.15299,1.153,1.0000000000065512e-05,1.0000000000065512e-05,0.0,0.0,-6.937940125584241e-05,1.1530799999999999,1.1530464999999999,1
2025-11-27 17:29:00,1.15308,1.15308,1.15308,1.15308,0.0,0.0,0.0,0.0,6.938421509117276e-05,1.1530720000000003,1.1530535,0
2025-11-27 17:30:00,1.15308,1.15309,1.15307,1.15307,-1.0000000000065512e-05,1.999999999990898e-05,9.999999999843467e-06,0.0,-8.672425157008057e-06,1.1530660000000001,1.1530580000000001,0
2025-11-27 17:31:00,1.15308,1.15308,1.15306,1.15306,-2.0000000000131024e-05,2.0000000000131024e-05,0.0,0.0,-8.672500368622771e-06,1.1530580000000001,1.153063,1
2025-11-27 17:32:00,1.15308,1.15308,1.15307,1.15307,-1.0000000000065512e-05,1.0000000000065512e-05,0.0,0.0,8.67257558145873e-06,1.153056,1.153068,0
2025-11-27 17:33:00,1.15307,1.15308,1.15306,1.15306,-1.0000000000065512e-05,2.0000000000131024e-05,1.0000000000065512e-05,0.0,-8.672500368622771e-06,1.153068,1.153069,1
2025-11-27 17:34:00,1.15298,1.15309,1.15298,1.15308,0.00010000000000021103,0.0001100000000000545,9.999999999843467e-06,0.0,1.7345151163139505e-05,1.153068,1.153072,0
2025-11-27 17:35:00,1.15308,1.15312,1.15308,1.15308,0.0,3.999999999981796e-05,3.999999999981796e-05,0.0,0.0,1.15307,1.1530745,0
2025-11-27 17:36:00,1.15311,1.15312,1.15308,1.15308,-2.999999999997449e-05,3.999999999981796e-05,9.999999999843467e-06,0.0,0.0,1.1530740000000002,1.153075,0
2025-11-27 17:37:00,1.15308,1.15308,1.15307,1.15307,-1.0000000000065512e-05,1.0000000000065512e-05,0.0,0.0,-8.672425157008057e-06,1.1530740000000002,1.153075,1
2025-11-27 17:38:00,1.15307,1.15309,1.15307,1.15308,1.0000000000065512e-05,1.999999999990898e-05,9.999999999843467e-06,0.0,8.672500368733793e-06,1.1530780000000003,1.153074,0
2025-11-27 17:39:00,1.15311,1.15311,1.15306,1.15308,-2.999999999997449e-05,5.0000000000105516e-05,0.0,2.0000000000131024e-05,0.0,1.1530780000000003,1.1530745,0
2025-11-27 17:40:00,1.15308,1.15308,1.15304,1.15304,-4.0000000000040004e-05,4.0000000000040004e-05,0.0,0.0,-3.4689700627921205e-05,1.15307,1.1530765,0
2025-11-27 17:41:00,1.15304,1.15305,1.15301,1.15301,-2.999999999997449e-05,3.999999999981796e-05,9.999999999843467e-06,0.0,-2.6018178033715422e-05,1.153056,1.1530725000000002,1
2025-11-27 17:42:00,1.15307,1.15309,1.15301,1.15305,-2.0000000000131024e-05,7.999999999985796e-05,1.999999999990898e-05,3.999999999981796e-05,3.4691806662490166e-05,1.1530520000000002,1.1530695,1
2025-11-27 17:43:00,1.15307,1.15323,1.15306,1.15309,1.999999999990898e-05,0.00017000000000000348,0.000140000000000029,1.0000000000065512e-05,3.469060318295192e-05,1.153054,1.15307,0
2025-11-27 17:44:00,1.15316,1.15318,1.15303,1.15304,-0.00011999999999989797,0.0001500000000000945,2.0000000000131024e-05,1.0000000000065512e-05,-4.336174973318396e-05,1.153046,1.1530660000000001,0
2025-11-27 17:45:00,1.15303,1.15309,1.15302,1.15304,1.0000000000065512e-05,7.00000000000145e-05,4.999999999988347e-05,1.0000000000065512e-05,0.0,1.1530460000000002,1.153063,1
2025-11-27 17:46:00,1.15305,1.15324,1.15304,1.1532,0.0001500000000000945,0.00019999999999997797,4.0000000000040004e-05,9.999999999843467e-06,0.00013876361617981559,1.1530840000000002,1.153068,1
2025-11-27 17:47:00,1.15322,1.15332,1.15319,1.15331,9.000000000014552e-05,0.00012999999999996348,9.999999999843467e-06,2.999999999997449e-05,9.538674991338425e-05,1.153136,1.1530795,0
2025-11-27 17:48:00,1.15328,1.15331,1.15319,1.15327,-1.0000000000065512e-05,0.00012000000000012001,2.999999999997449e-05,8.000000000008001e-05,-3.4682782599659845e-05,1.153172,1.1530930000000001,1
2025-11-27 17:49:00,1.15324,1.15332,1.15318,1.15331,7.00000000000145e-05,0.00013999999999980695,9.999999999843467e-06,5.999999999994898e-05,3.468398553674312e-05,1.153226,1.1531045,1
2025-11-27 17:50:00,1.15329,1.15336,1.15319,1.15332,2.999999999997449e-05,0.00017000000000000348,4.0000000000040004e-05,9.999999999998899e-05,8.670695649692917e-06,1.153282,1.153117,1
